Country,State,Date,ConfirmedCases,ConfirmedDeaths,
Belarus,All,1/3/20,0,0,
Belarus,All,1/4/20,0,0,
Belarus,All,1/5/20,0,0,
Belarus,All,1/6/20,0,0,
Belarus,All,1/7/20,0,0,
Belarus,All,1/8/20,0,0,
Belarus,All,1/9/20,0,0,
Belarus,All,1/10/20,0,0,
Belarus,All,1/11/20,0,0,
Belarus,All,1/12/20,0,0,
Belarus,All,1/13/20,0,0,
Belarus,All,1/14/20,0,0,
Belarus,All,1/15/20,0,0,
Belarus,All,1/16/20,0,0,
Belarus,All,1/17/20,0,0,
Belarus,All,1/18/20,0,0,
Belarus,All,1/19/20,0,0,
Belarus,All,1/20/20,0,0,
Belarus,All,1/21/20,0,0,
Belarus,All,1/22/20,0,0,
Belarus,All,1/23/20,0,0,
Belarus,All,1/24/20,0,0,
Belarus,All,1/25/20,0,0,
Belarus,All,1/26/20,0,0,
Belarus,All,1/27/20,0,0,
Belarus,All,1/28/20,0,0,
Belarus,All,1/29/20,0,0,
Belarus,All,1/30/20,0,0,
Belarus,All,1/31/20,0,0,
Belarus,All,2/1/20,0,0,
Belarus,All,2/2/20,0,0,
Belarus,All,2/3/20,0,0,
Belarus,All,2/4/20,0,0,
Belarus,All,2/5/20,0,0,
Belarus,All,2/6/20,0,0,
Belarus,All,2/7/20,0,0,
Belarus,All,2/8/20,0,0,
Belarus,All,2/9/20,0,0,
Belarus,All,2/10/20,0,0,
Belarus,All,2/11/20,0,0,
Belarus,All,2/12/20,0,0,
Belarus,All,2/13/20,0,0,
Belarus,All,2/14/20,0,0,
Belarus,All,2/15/20,0,0,
Belarus,All,2/16/20,0,0,
Belarus,All,2/17/20,0,0,
Belarus,All,2/18/20,0,0,
Belarus,All,2/19/20,0,0,
Belarus,All,2/20/20,0,0,
Belarus,All,2/21/20,0,0,
Belarus,All,2/22/20,0,0,
Belarus,All,2/23/20,0,0,
Belarus,All,2/24/20,0,0,
Belarus,All,2/25/20,0,0,
Belarus,All,2/26/20,0,0,
Belarus,All,2/27/20,0,0,
Belarus,All,2/28/20,1,0,
Belarus,All,2/29/20,1,0,
Belarus,All,3/1/20,1,0,
Belarus,All,3/2/20,1,0,
Belarus,All,3/4/20,4,0,
Belarus,All,3/5/20,6,0,
Belarus,All,3/11/20,9,0,
Belarus,All,3/12/20,12,0,
Belarus,All,3/13/20,21,0,
Belarus,All,3/16/20,27,0,
Belarus,All,3/17/20,36,0,
Belarus,All,3/18/20,36,0,
Belgium,All,12/31/19,0,0,
Belgium,All,1/1/20,0,0,
Belgium,All,1/2/20,0,0,
